Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_SIGNAL,MACD_HIST,MACD_HIST_STD_60,BB_MID,BB_UPPER,BB_LOWER,BB_PCT_B,MA_50,MA_200,MA_CROSS,VOL_MA_20,VOL_RATIO
2025-09-24 00:00:00-04:00,754.9392103751906,758.5369918811637,749.9860410574281,758.0885009765625,8828200,,0.0,0.0,0.0,,,,,,,,,,
2025-09-25 00:00:00-04:00,750.9028646268723,754.2116481824468,742.0329280425029,746.378173828125,10591100,,-0.934157151442264,-0.1868314302884528,-0.7473257211538111,,,,,,,,,,
2025-09-26 00:00:00-04:00,747.4645278033088,749.387995888731,734.8572684361654,741.2356567382812,9696300,,-2.065630275534886,-0.5625911993377395,-1.5030390761971466,,,,,,,,,,
2025-09-29 00:00:00-04:00,746.1888021735474,748.2418964072087,736.6512086302703,740.8868408203125,9246800,,-2.9563978929890027,-1.0413525380679922,-1.9150453549210105,,,,,,,,,,
2025-09-30 00:00:00-04:00,739.740790143385,740.4583269528289,723.8446976774693,731.8973999023438,16226800,,-4.337708003903913,-1.7006236312351763,-2.6370843726687365,,,,,,,,,,
2025-10-01 00:00:00-04:00,719.0508505989554,719.4096189488256,707.7990405756898,714.9149169921875,20419600,,-6.7252264368678425,-2.7055441923617094,-4.019682244506133,,,,,,,,,,
2025-10-02 00:00:00-04:00,720.1372426569798,725.309699629413,715.7122502133443,724.5921020507812,11415300,,-7.747179376118424,-3.7138712291130527,-4.033308147005371,,,,,,,,,,
2025-10-03 00:00:00-04:00,727.1634377305112,728.528801479838,707.7791777004747,708.1578979492188,16154300,,-9.770558451996408,-4.925208673689724,-4.845349778306684,,,,,,,,,,
2025-10-06 00:00:00-04:00,702.8060248479621,714.4565078636942,688.1756596108709,713.2406005859375,21654700,,-10.839023803080067,-6.107971699567793,-4.731052103512274,,,,,,,,,,
2025-10-07 00:00:00-04:00,715.2936403041813,716.0710326272052,703.3641353885179,710.6693725585938,12062900,,-11.757731099664966,-7.237923579587228,-4.5198075200777375,,,,,,,,,,
2025-10-08 00:00:00-04:00,711.0380954481734,717.2171476536749,705.4171476518181,715.4132690429688,10790600,,-11.965094292256708,-8.183357722121125,-3.7817365701355836,,,,,,,,,,
2025-10-09 00:00:00-04:00,715.8517801132227,731.0302734375,710.0314963104157,731.0302734375,12717200,,-10.745403060766193,-8.69576678985014,-2.0496362709160536,,,,,,,,,,
2025-10-10 00:00:00-04:00,728.4490335307075,732.784364410351,702.1283419878271,702.9156494140625,16980100,,-11.910111812200057,-9.338635794320123,-2.5714760178799345,,,,,,,,,,
2025-10-13 00:00:00-04:00,710.5996089558437,717.5061741064447,705.2477676379041,713.280517578125,9251800,,-11.860078053800521,-9.842924246216203,-2.017153807584318,,,,,,,,,,
2025-10-14 00:00:00-04:00,705.3873404797914,713.1310322093289,696.9658939978091,706.25439453125,8829800,22.116791424332973,-12.246208679263304,-10.323581132825623,-1.9226275464376812,,,,,,,,,,
2025-10-15 00:00:00-04:00,714.6359337847463,721.45283752448,707.1114691724935,715.124267578125,10246800,26.640169174111563,-11.70160651964136,-10.59918621018877,-1.1024203094525884,,,,,,,,,,
2025-10-16 00:00:00-04:00,715.1242355877501,723.0373960268438,701.5004654735715,709.6627807617188,9017000,25.6522472820847,-11.577246436692008,-10.794798255489418,-0.7824481812025894,,,,,,,,,,
2025-10-17 00:00:00-04:00,704.6896374063629,716.1108563950927,703.7328609179003,714.496337890625,12232400,28.19034941561395,-10.962295986073059,-10.828297801606148,-0.13399818446691114,,,,,,,,,,
2025-10-20 00:00:00-04:00,718.7519624447335,731.2894517891565,717.7453670972193,729.69482421875,8900200,35.631388012367935,-9.143155886209911,-10.491269418526901,1.3481135323169902,,,,,,,,,,
2025-10-21 00:00:00-04:00,733.5318410857864,736.0034377690635,726.2863984755653,730.7911376953125,7647300,36.145386831190734,-7.526252956435201,-9.898266126108561,2.3720131696733606,1.9992478677394276,722.936245727539,753.2428755350776,692.6296159200004,0.6295903242567016,,,,12145460.0,0.629642681298197
2025-10-22 00:00:00-04:00,731.3492269695964,738.0962989037338,721.5823690736463,730.9306030273438,8734500,36.215165327529704,-6.1625539626725185,-9.151123693421352,2.988569730748834,2.229918111582241,721.5783508300781,747.3473130965297,695.8093885636265,0.6814635005586022,,,,12140775.0,0.7194351266702497
