Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_SIGNAL,MACD_HIST,MACD_HIST_STD_60,BB_MID,BB_UPPER,BB_LOWER,BB_PCT_B,MA_50,MA_200,MA_CROSS,VOL_MA_20,VOL_RATIO
2025-09-24 00:00:00-04:00,429.8299865722656,444.2099914550781,429.0299987792969,442.7900085449219,93133600,,0.0,0.0,0.0,,,,,,,,,,
2025-09-25 00:00:00-04:00,435.239990234375,435.3500061035156,419.0799865722656,423.3900146484375,96746400,,-1.54757786068825,-0.30951557213765,-1.2380622885506,,,,,,,,,,
2025-09-26 00:00:00-04:00,428.29998779296875,440.4700012207031,421.0199890136719,440.3999938964844,101628200,,-1.3855100011475088,-0.5247144579396218,-0.860795543207887,,,,,,,,,,
2025-09-29 00:00:00-04:00,444.3500061035156,450.9800109863281,439.5,443.2099914550781,79491500,,-1.0185851207517658,-0.6234885905020506,-0.39509653024971514,,,,,,,,,,
2025-09-30 00:00:00-04:00,441.5199890136719,445.0,433.1199951171875,444.7200012207031,74358000,,-0.599043935482996,-0.6185996594982397,0.019555724015243747,,,,,,,,,,
2025-10-01 00:00:00-04:00,443.79998779296875,462.2900085449219,440.75,459.4599914550781,98122300,,0.9123228116775408,-0.3124151652630836,1.2247379769406244,,,,,,,,,,
2025-10-02 00:00:00-04:00,470.5400085449219,470.75,435.57000732421875,436.0,137009000,,0.21459290706292222,-0.20701355079788245,0.42160645786080464,,,,,,,,,,
2025-10-03 00:00:00-04:00,443.2900085449219,446.7699890136719,416.5799865722656,429.8299865722656,133188200,,-0.8267018831759287,-0.33095121727349175,-0.495750665902437,,,,,,,,,,
2025-10-06 00:00:00-04:00,440.75,453.54998779296875,436.69000244140625,453.25,85324900,,0.2351531487145735,-0.21773034407587874,0.45288349279045226,,,,,,,,,,
2025-10-07 00:00:00-04:00,447.82000732421875,452.67999267578125,432.45001220703125,433.0899963378906,102296100,,-0.5437943765390401,-0.28294315056851105,-0.260851225970529,,,,,,,,,,
2025-10-08 00:00:00-04:00,437.57000732421875,441.3299865722656,425.2300109863281,438.69000244140625,71192100,,-0.7011596786477412,-0.36658645618435715,-0.33457322246338406,,,,,,,,,,
2025-10-09 00:00:00-04:00,431.80999755859375,436.3500061035156,426.17999267578125,435.5400085449219,69339900,,-1.0677427227129215,-0.5068177094900701,-0.5609250132228514,,,,,,,,,,
2025-10-10 00:00:00-04:00,436.5400085449219,443.1300048828125,411.45001220703125,413.489990234375,112107900,,-3.1017594717795305,-1.025806061947962,-2.0759534098315684,,,,,,,,,,
