date,equity,daily_return
2026-09-13,100000.0,
2026-09-13,100000.0,0.0
2026-09-14,100000.0,0.0
2026-09-14,100000.0,0.0
2026-09-14,100000.0,0.0
2026-09-14,100000.0,0.0
2026-09-14,100000.0,0.0
2026-09-15,100000.0,0.0
2026-09-16,100000.0,0.0
2026-09-16,100000.0,0.0
2026-09-17,100000.0,0.0
2026-09-18,100000.0,0.0
2026-09-21,100000.0,0.0
2026-09-22,100000.0,0.0
2026-09-23,99984.0,-0.000160000000000049
2026-09-24,100198.33118244757,0.0021436548092450547
2026-09-25,100272.14194454876,0.0007366466210578793
