Date,Open,High,Low,Close,Volume
2025-09-17 00:00:00-04:00,250.56835490468708,250.94737408261642,245.6411664684413,248.8827362060547,34108000
2025-09-18 00:00:00-04:00,251.02715300766394,253.33117381914667,249.15203994052993,251.37625122070312,31239500
2025-09-19 00:00:00-04:00,252.59309222605677,255.33595897283527,251.1568250217611,254.0592803955078,55571400
2025-09-22 00:00:00-04:00,253.7700196733437,255.11652395864965,249.65074294375358,251.8749542236328,32290500
2025-09-23 00:00:00-04:00,252.38362744671002,253.7002107757565,249.8302703204236,251.00721740722656,26628000
2025-09-24 00:00:00-04:00,251.00722705371746,251.69543970951247,245.80076590550527,246.4989471435547,28201000
2025-09-25 00:00:00-04:00,243.76604145127706,245.85063173864694,240.1155467413105,245.15243530273438,31020400
2025-09-26 00:00:00-04:00,246.42912138871642,248.77301648715127,245.33196864020064,245.90048217773438,18503200
2025-09-29 00:00:00-04:00,247.2071078925349,250.49853584610034,242.14028307987255,243.41696166992188,32505800
2025-09-30 00:00:00-04:00,242.18018034462705,242.6589310263489,238.6294169517045,242.4694366455078,34724300
2025-10-01 00:00:00-04:00,240.12551089529904,245.66111761710096,237.9910625183314,244.26473999023438,31658200
2025-10-02 00:00:00-04:00,244.51411127313986,246.1698091326398,241.6715128807893,245.05271911621094,25483300
2025-10-03 00:00:00-04:00,243.85582267520638,245.66112527970623,241.0331615881319,244.71359252929688,30249600
2025-10-06 00:00:00-04:00,244.14505728413704,250.66810152305118,243.94557911341744,249.7803955078125,28894700
2025-10-07 00:00:00-04:00,247.62602723387863,249.7903967365714,244.88316034229135,245.12252807617188,23181300
2025-10-08 00:00:00-04:00,244.3246032710778,245.37186749350337,243.18756093367097,243.9854736328125,21307100
2025-10-09 00:00:00-04:00,243.83587990027615,244.12512098399313,238.5296719381561,240.90350341796875,27892100
2025-10-10 00:00:00-04:00,240.80373872383117,243.45684250665406,235.22824247873842,235.95635986328125,33180300
2025-10-13 00:00:00-04:00,239.58694087972822,243.865806618421,239.08823779870895,243.51670837402344,24995000
