model_name,ticker,date,close,buy_1_price,buy_2_price,stop_loss_pct,target_price,basis_buy_1,basis_buy_2,basis_target,news_score,min_news_score,news_blocked
price_model_2,AAPL,2026-09-17 00:00:00-04:00,337.0,319.62,274.91,-0.05,367.56,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),0.2428571428571428,-0.2,False
price_model_2,MSFT,2026-09-17 00:00:00-04:00,497.75,479.84,352.17,-0.05,551.82,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.7,-0.2,True
price_model_2,GOOGL,2026-09-17 00:00:00-04:00,347.3299865722656,345.58,317.49,-0.05,397.42,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.0809523809523809,-0.2,False
price_model_2,AMZN,2026-09-17 00:00:00-04:00,251.19000244140625,246.62,226.65,-0.05,283.61,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.2538461538461538,-0.2,True
price_model_2,NVDA,2026-09-17 00:00:00-04:00,219.33999633789065,213.67,189.8,-0.05,245.72,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),0.4543478260869565,-0.2,False
price_model_2,META,2026-09-17 00:00:00-04:00,682.3099975585938,606.69,518.21,-0.05,697.7,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.7,-0.2,True
price_model_2,TSLA,2026-09-17 00:00:00-04:00,366.2000122070313,351.09,298.32,-0.05,403.75,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.2538461538461538,-0.2,True
